Cell_ID,Pseudotime,Cell_State,Biological_Age,Methylation_Beta,Cell_Entropy_Bits,Plasticity_Index
SC_0049,0.001,Senescent / Deep Aged,85.1,0.804,0.713,0.183
SC_0137,0.006,Senescent / Deep Aged,80.3,0.841,0.631,0.167
SC_0014,0.008,Senescent / Deep Aged,79.4,0.803,0.7149,0.129
SC_0144,0.011,Senescent / Deep Aged,73.3,0.854,0.5994,0.195
SC_0126,0.029,Senescent / Deep Aged,70.3,0.843,0.6269,0.198
SC_0016,0.03,Senescent / Deep Aged,79.7,0.815,0.6918,0.188
SC_0058,0.03,Senescent / Deep Aged,79.8,0.817,0.6866,0.14
SC_0150,0.04,Senescent / Deep Aged,73.5,0.814,0.6934,0.182
SC_0138,0.048,Senescent / Deep Aged,70.7,0.798,0.7264,0.153
SC_0085,0.064,Senescent / Deep Aged,69.3,0.83,0.6578,0.244
SC_0079,0.071,Senescent / Deep Aged,77.3,0.807,0.7085,0.244
SC_0133,0.071,Senescent / Deep Aged,75.8,0.777,0.7649,0.184
SC_0196,0.082,Senescent / Deep Aged,72.8,0.776,0.768,0.193
SC_0088,0.088,Senescent / Deep Aged,74.5,0.746,0.8174,0.235
SC_0094,0.091,Senescent / Deep Aged,73.2,0.774,0.7713,0.214
SC_0062,0.092,Senescent / Deep Aged,78.4,0.778,0.7645,0.199
SC_0157,0.094,Senescent / Deep Aged,74.9,0.78,0.7604,0.18
SC_0001,0.098,Senescent / Deep Aged,73.9,0.783,0.7553,0.221
SC_0147,0.098,Senescent / Deep Aged,72.2,0.784,0.7535,0.174
SC_0048,0.101,Senescent / Deep Aged,79.3,0.771,0.7756,0.196
SC_0153,0.101,Senescent / Deep Aged,75.8,0.821,0.6772,0.179
SC_0176,0.11,Senescent / Deep Aged,76.4,0.789,0.7437,0.191
SC_0034,0.115,Senescent / Deep Aged,77.6,0.785,0.7503,0.255
SC_0121,0.121,Senescent / Deep Aged,75.1,0.759,0.7961,0.267
SC_0061,0.122,Senescent / Deep Aged,74.9,0.774,0.7707,0.278
SC_0185,0.128,Senescent / Deep Aged,76.3,0.735,0.8341,0.295
SC_0008,0.131,Senescent / Deep Aged,70.3,0.786,0.7494,0.218
SC_0117,0.132,Senescent / Deep Aged,74.4,0.785,0.751,0.294
SC_0042,0.133,Senescent / Deep Aged,74.7,0.761,0.793,0.225
SC_0127,0.134,Senescent / Deep Aged,81.7,0.742,0.8239,0.234
SC_0067,0.144,Senescent / Deep Aged,68.9,0.773,0.7728,0.302
SC_0004,0.146,Senescent / Deep Aged,67.9,0.758,0.7991,0.21
SC_0027,0.148,Senescent / Deep Aged,68.7,0.745,0.8184,0.253
SC_0071,0.154,Senescent / Deep Aged,74.4,0.759,0.7962,0.295
SC_0156,0.154,Senescent / Deep Aged,78.8,0.762,0.7914,0.298
